date,country,countryCode,province,city,confirmed,suspected,cured,dead,Days,net_confirmed
2019-12-01,中国,CN,,,1,0,0,0,-7,1
2019-12-01,中国,CN,Hubei Province,,1,0,0,0,-7,1
2019-12-01,中国,CN,Hubei Province,Wuhan,1,0,0,0,-7,1
2019-12-02,中国,CN,,,1,0,0,0,-6,1
2019-12-02,中国,CN,Hubei Province,,1,0,0,0,-6,1
2019-12-02,中国,CN,Hubei Province,Wuhan,1,0,0,0,-6,1
2019-12-03,中国,CN,,,1,0,0,0,-5,1
2019-12-03,中国,CN,Hubei Province,,1,0,0,0,-5,1
2019-12-03,中国,CN,Hubei Province,Wuhan,1,0,0,0,-5,1
2019-12-04,中国,CN,,,1,0,0,0,-4,1
2019-12-04,中国,CN,Hubei Province,,1,0,0,0,-4,1
2019-12-04,中国,CN,Hubei Province,Wuhan,1,0,0,0,-4,1
2019-12-05,中国,CN,,,1,0,0,0,-3,1
2019-12-05,中国,CN,Hubei Province,,1,0,0,0,-3,1
2019-12-05,中国,CN,Hubei Province,Wuhan,1,0,0,0,-3,1
2019-12-06,中国,CN,,,1,0,0,0,-2,1
2019-12-06,中国,CN,Hubei Province,,1,0,0,0,-2,1
2019-12-06,中国,CN,Hubei Province,Wuhan,1,0,0,0,-2,1
2019-12-07,中国,CN,,,1,0,0,0,-1,1
2019-12-07,中国,CN,Hubei Province,,1,0,0,0,-1,1
2019-12-07,中国,CN,Hubei Province,Wuhan,1,0,0,0,-1,1
2019-12-08,中国,CN,,,1,0,0,0,0,1
2019-12-08,中国,CN,Hubei Province,,1,0,0,0,0,1
2019-12-08,中国,CN,Hubei Province,Wuhan,1,0,0,0,0,1
2019-12-09,中国,CN,,,1,0,0,0,1,1
2019-12-09,中国,CN,Hubei Province,,1,0,0,0,1,1
2019-12-09,中国,CN,Hubei Province,Wuhan,1,0,0,0,1,1
2019-12-10,中国,CN,,,1,0,0,0,2,1
2019-12-10,中国,CN,Hubei Province,,1,0,0,0,2,1
2019-12-10,中国,CN,Hubei Province,Wuhan,1,0,0,0,2,1
2019-12-11,中国,CN,,,4,0,0,0,3,4
2019-12-11,中国,CN,Hubei Province,,4,0,0,0,3,4
2019-12-11,中国,CN,Hubei Province,Wuhan,4,0,0,0,3,4
2019-12-12,中国,CN,,,4,0,0,0,4,4
2019-12-12,中国,CN,Hubei Province,,4,0,0,0,4,4
2019-12-12,中国,CN,Hubei Province,Wuhan,4,0,0,0,4,4
2019-12-13,中国,CN,,,4,0,0,0,5,4
2019-12-13,中国,CN,Hubei Province,,4,0,0,0,5,4
2019-12-13,中国,CN,Hubei Province,Wuhan,4,0,0,0,5,4
2019-12-14,中国,CN,,,4,0,0,0,6,4
2019-12-14,中国,CN,Hubei Province,,4,0,0,0,6,4
2019-12-14,中国,CN,Hubei Province,Wuhan,4,0,0,0,6,4
2019-12-15,中国,CN,,,6,0,0,0,7,6
2019-12-15,中国,CN,Hubei Province,,6,0,0,0,7,6
2019-12-15,中国,CN,Hubei Province,Wuhan,6,0,0,0,7,6
2019-12-16,中国,CN,,,6,0,0,0,8,6
2019-12-16,中国,CN,Hubei Province,,6,0,0,0,8,6
2019-12-16,中国,CN,Hubei Province,Wuhan,6,0,0,0,8,6
2019-12-17,中国,CN,,,7,0,0,0,9,7
2019-12-17,中国,CN,Hubei Province,,7,0,0,0,9,7
2019-12-17,中国,CN,Hubei Province,Wuhan,7,0,0,0,9,7
2019-12-18,中国,CN,,,8,0,0,0,10,8
2019-12-18,中国,CN,Hubei Province,,8,0,0,0,10,8
2019-12-18,中国,CN,Hubei Province,Wuhan,8,0,0,0,10,8
2019-12-19,中国,CN,,,9,0,0,0,11,9
2019-12-19,中国,CN,Hubei Province,,9,0,0,0,11,9
2019-12-19,中国,CN,Hubei Province,Wuhan,9,0,0,0,11,9
2019-12-20,中国,CN,,,14,0,0,0,12,14
2019-12-20,中国,CN,Hubei Province,,14,0,0,0,12,14
2019-12-20,中国,CN,Hubei Province,Wuhan,14,0,0,0,12,14
2019-12-21,中国,CN,,,18,0,0,0,13,18
2019-12-21,中国,CN,Hubei Province,,18,0,0,0,13,18
